record_id,bike_id,bike_type,date,maintenance_type,cost,description
MR5000,BK244,classic,2024-05-09,chain_lubrication,51.49,Chain Lubrication for bike BK244
MR5001,BK312,classic,2024-05-17,brake_adjustment,74.73,Brake Adjustment for bike BK312
MR5002,BK227,electric,2024-11-07,general_inspection,16.19,General Inspection for bike BK227
MR5003,BK342,electric,2024-02-26,brake_adjustment,106.02,Brake Adjustment for bike BK342
MR5004,BK312,electric,2024-12-03,tire_repair,149.63,Tire Repair for bike BK312
MR5005,BK300,electric,2024-07-20,battery_replacement,158.56,Battery Replacement for bike BK300
MR5006,BK280,classic,2024-08-14,brake_adjustment,48.3,Brake Adjustment for bike BK280
MR5007,BK250,electric,2024-12-30,chain_lubrication,110.56,Chain Lubrication for bike BK250
MR5008,BK227,electric,2024-07-03,general_inspection,69.97,General Inspection for bike BK227
MR5009,BK329,electric,2024-08-07,battery_replacement,149.23,Battery Replacement for bike BK329
MR5010,BK329,electric,2024-10-24,chain_lubrication,23.45,Chain Lubrication for bike BK329
MR5011,BK241,classic,2024-07-06,chain_lubrication,70.09,Chain Lubrication for bike BK241
MR5012,BK333,classic,2024-04-24,general_inspection,85.69,General Inspection for bike BK333
MR5013,BK317,classic,2024-02-22,brake_adjustment,99.62,Brake Adjustment for bike BK317
MR5014,BK270,electric,2024-10-21,battery_replacement,210.69,Battery Replacement for bike BK270
MR5015,BK330,classic,2024-09-03,brake_adjustment,,Brake Adjustment for bike BK330
MR5016,BK295,electric,2024-11-07,general_inspection,60.5,General Inspection for bike BK295
MR5017,BK238,electric,2024-06-24,battery_replacement,201.94,Battery Replacement for bike BK238
MR5018,BK312,electric,2024-07-17,brake_adjustment,97.12,Brake Adjustment for bike BK312
MR5019,BK325,electric,2024-12-02,battery_replacement,148.49,Battery Replacement for bike BK325
MR5020,BK228,classic,2024-07-21,general_inspection,123.83,General Inspection for bike BK228
MR5021,BK342,classic,2024-05-31,brake_adjustment,131.02,Brake Adjustment for bike BK342
MR5022,BK312,electric,2024-11-21,battery_replacement,107.62,Battery Replacement for bike BK312
MR5023,BK315,classic,2024-09-04,general_inspection,140.2,General Inspection for bike BK315
MR5024,BK312,electric,2024-10-16,battery_replacement,213.34,Battery Replacement for bike BK312
MR5025,BK270,electric,2024-10-09,brake_adjustment,49.94,Brake Adjustment for bike BK270
MR5026,BK312,electric,2024-02-24,brake_adjustment,109.06,Brake Adjustment for bike BK312
MR5027,BK286,classic,2024-04-29,general_inspection,51.82,General Inspection for bike BK286
MR5028,BK202,electric,2024-09-18,brake_adjustment,70.55,Brake Adjustment for bike BK202
MR5029,BK227,electric,2024-03-13,battery_replacement,239.46,Battery Replacement for bike BK227
MR5030,BK330,classic,2024-04-29,chain_lubrication,129.68,Chain Lubrication for bike BK330
MR5031,BK229,electric,2024-02-03,chain_lubrication,12.76,Chain Lubrication for bike BK229
MR5032,BK227,electric,2024-01-10,brake_adjustment,113.35,Brake Adjustment for bike BK227
MR5033,BK226,electric,2024-04-16,battery_replacement,,Battery Replacement for bike BK226
MR5034,BK312,classic,2024-08-26,chain_lubrication,111.22,Chain Lubrication for bike BK312
MR5035,BK329,electric,2024-07-24,chain_lubrication,116.27,Chain Lubrication for bike BK329
MR5036,BK342,electric,2024-12-22,battery_replacement,182.05,Battery Replacement for bike BK342
MR5037,BK243,classic,2024-09-14,brake_adjustment,115.1,Brake Adjustment for bike BK243
MR5038,BK238,classic,2024-04-20,brake_adjustment,85.6,Brake Adjustment for bike BK238
MR5039,BK295,classic,2024-01-09,general_inspection,30.47,General Inspection for bike BK295
MR5040,BK227,classic,2024-02-26,brake_adjustment,41.01,Brake Adjustment for bike BK227
MR5041,BK244,electric,2024-04-14,battery_replacement,145.31,Battery Replacement for bike BK244
MR5042,BK262,electric,2024-09-23,tire_repair,101.65,Tire Repair for bike BK262
MR5043,BK280,electric,2024-10-06,tire_repair,50.96,Tire Repair for bike BK280
MR5044,BK261,electric,2024-01-07,chain_lubrication,29.07,Chain Lubrication for bike BK261
MR5045,BK227,classic,2024-05-07,chain_lubrication,96.21,Chain Lubrication for bike BK227
MR5046,BK227,electric,2024-04-06,brake_adjustment,23.54,Brake Adjustment for bike BK227
MR5047,BK328,classic,2024-12-21,tire_repair,24.29,Tire Repair for bike BK328
MR5048,BK312,classic,2024-08-27,general_inspection,23.85,General Inspection for bike BK312
MR5049,BK302,electric,2024-12-17,tire_repair,65.06,Tire Repair for bike BK302
MR5050,BK328,electric,2024-03-21,battery_replacement,138.06,Battery Replacement for bike BK328
MR5051,BK283,electric,2024-06-28,brake_adjustment,74.2,Brake Adjustment for bike BK283
MR5052,BK346,classic,2024-01-03,tire_repair,32.01,Tire Repair for bike BK346
MR5053,BK342,classic,2024-10-31,brake_adjustment,133.25,Brake Adjustment for bike BK342
MR5054,BK250,electric,2024-12-26,general_inspection,96.68,General Inspection for bike BK250
MR5055,BK243,electric,2024-09-24,battery_replacement,99.04,Battery Replacement for bike BK243
MR5056,BK270,classic,2024-03-28,tire_repair,53.58,Tire Repair for bike BK270
MR5057,BK270,classic,2024-03-20,brake_adjustment,58.21,Brake Adjustment for bike BK270
MR5058,BK295,electric,2024-01-18,tire_repair,111.72,Tire Repair for bike BK295
MR5059,BK329,electric,2024-08-27,tire_repair,19.08,Tire Repair for bike BK329
MR5060,BK227,classic,2024-02-23,brake_adjustment,101.02,Brake Adjustment for bike BK227
MR5061,BK283,classic,2024-02-23,chain_lubrication,48.26,Chain Lubrication for bike BK283
MR5062,BK229,electric,2024-12-30,general_inspection,46.13,General Inspection for bike BK229
MR5063,BK261,classic,2024-11-16,chain_lubrication,51.87,Chain Lubrication for bike BK261
MR5064,BK307,electric,2024-08-06,general_inspection,134.86,General Inspection for bike BK307
MR5065,BK261,classic,2024-06-27,general_inspection,115.32,General Inspection for bike BK261
MR5066,BK227,electric,2024-10-26,general_inspection,74.76,General Inspection for bike BK227
MR5067,BK229,classic,2024-05-05,tire_repair,92.49,Tire Repair for bike BK229
MR5068,BK251,electric,2024-07-04,tire_repair,30.97,Tire Repair for bike BK251
MR5069,BK285,electric,2024-04-12,tire_repair,102.7,Tire Repair for bike BK285
MR5070,BK312,electric,2024-09-06,chain_lubrication,29.43,Chain Lubrication for bike BK312
MR5071,BK250,classic,2024-03-23,general_inspection,13.36,General Inspection for bike BK250
MR5072,BK312,electric,2024-10-30,battery_replacement,179.98,Battery Replacement for bike BK312
MR5073,BK300,electric,2024-11-11,chain_lubrication,20.76,Chain Lubrication for bike BK300
MR5074,BK312,classic,2024-09-18,general_inspection,132.42,General Inspection for bike BK312
MR5075,BK325,electric,2024-02-23,chain_lubrication,32.85,Chain Lubrication for bike BK325
MR5076,BK327,electric,2024-10-08,brake_adjustment,33.5,Brake Adjustment for bike BK327
MR5077,BK342,classic,2024-07-27,general_inspection,41.27,General Inspection for bike BK342
MR5078,BK227,classic,2024-04-25,chain_lubrication,50.31,Chain Lubrication for bike BK227
MR5079,BK320,electric,2024-08-06,tire_repair,79.09,Tire Repair for bike BK320
MR5080,BK329,classic,2024-07-29,general_inspection,58.01,General Inspection for bike BK329
MR5081,BK329,electric,2024-02-22,general_inspection,113.43,General Inspection for bike BK329
MR5082,BK229,electric,2024-07-06,brake_adjustment,27.42,Brake Adjustment for bike BK229
MR5083,BK286,electric,2024-12-27,tire_repair,29.31,Tire Repair for bike BK286
MR5084,BK327,electric,2024-11-09,chain_lubrication,,Chain Lubrication for bike BK327
MR5085,BK315,classic,2024-11-22,tire_repair,97.61,Tire Repair for bike BK315
MR5086,BK241,electric,2024-04-28,tire_repair,143.98,Tire Repair for bike BK241
MR5087,BK227,classic,2024-08-10,chain_lubrication,57.58,Chain Lubrication for bike BK227
MR5088,BK258,electric,2024-03-01,battery_replacement,155.53,Battery Replacement for bike BK258
MR5089,BK261,classic,2024-12-21,general_inspection,139.94,General Inspection for bike BK261
MR5090,BK229,electric,2024-12-22,general_inspection,12.05,General Inspection for bike BK229
MR5091,BK238,electric,2024-02-24,tire_repair,130.61,Tire Repair for bike BK238
MR5092,BK274,classic,2024-01-12,general_inspection,15.48,General Inspection for bike BK274
MR5093,BK295,electric,2024-03-05,brake_adjustment,13.58,Brake Adjustment for bike BK295
MR5094,BK333,classic,2024-04-14,general_inspection,34.17,General Inspection for bike BK333
MR5095,BK302,classic,2024-01-16,chain_lubrication,71.05,Chain Lubrication for bike BK302
MR5096,BK307,electric,2024-02-07,battery_replacement,124.1,Battery Replacement for bike BK307
MR5097,BK295,electric,2024-09-01,chain_lubrication,138.94,Chain Lubrication for bike BK295
MR5098,BK317,classic,2024-04-30,chain_lubrication,56.85,Chain Lubrication for bike BK317
MR5099,BK262,electric,2024-07-12,brake_adjustment,116.38,Brake Adjustment for bike BK262
MR5100,BK295,electric,2024-08-05,chain_lubrication,18.34,Chain Lubrication for bike BK295
MR5101,BK238,classic,2024-04-03,brake_adjustment,90.34,Brake Adjustment for bike BK238
MR5102,BK307,electric,2024-09-14,general_inspection,117.55,General Inspection for bike BK307
MR5103,BK291,electric,2024-06-02,battery_replacement,179.32,Battery Replacement for bike BK291
MR5104,BK244,electric,2024-02-11,general_inspection,66.38,General Inspection for bike BK244
MR5105,BK250,electric,2024-01-06,general_inspection,126.9,General Inspection for bike BK250
MR5106,BK329,electric,2024-10-19,tire_repair,102.05,Tire Repair for bike BK329
MR5107,BK283,classic,2024-03-17,general_inspection,100.12,General Inspection for bike BK283
MR5108,BK315,classic,2024-09-15,general_inspection,114.19,General Inspection for bike BK315
MR5109,BK228,classic,2024-08-11,general_inspection,145.08,General Inspection for bike BK228
MR5110,BK283,classic,2024-08-16,tire_repair,,Tire Repair for bike BK283
MR5111,BK331,classic,2024-11-06,chain_lubrication,10.62,Chain Lubrication for bike BK331
MR5112,BK295,classic,2024-11-15,brake_adjustment,14.1,Brake Adjustment for bike BK295
MR5113,BK320,classic,2024-08-22,brake_adjustment,21.35,Brake Adjustment for bike BK320
MR5114,BK243,electric,2024-03-23,chain_lubrication,129.98,Chain Lubrication for bike BK243
MR5115,BK329,classic,2024-09-02,brake_adjustment,50.83,Brake Adjustment for bike BK329
MR5116,BK329,classic,2024-12-02,tire_repair,148.22,Tire Repair for bike BK329
MR5117,BK227,classic,2024-06-15,general_inspection,145.56,General Inspection for bike BK227
MR5118,BK323,electric,2024-05-13,brake_adjustment,89.98,Brake Adjustment for bike BK323
MR5119,BK274,classic,2024-09-03,brake_adjustment,102.36,Brake Adjustment for bike BK274
MR5120,BK258,electric,2024-10-16,battery_replacement,122.05,Battery Replacement for bike BK258
MR5121,BK330,electric,2024-10-31,chain_lubrication,115.04,Chain Lubrication for bike BK330
MR5122,BK302,electric,2024-03-10,chain_lubrication,123.38,Chain Lubrication for bike BK302
MR5123,BK312,electric,2024-12-14,brake_adjustment,31.0,Brake Adjustment for bike BK312
MR5124,BK295,electric,2024-05-15,general_inspection,60.39,General Inspection for bike BK295
MR5125,BK265,electric,2024-10-18,battery_replacement,,Battery Replacement for bike BK265
MR5126,BK333,electric,2024-07-26,brake_adjustment,83.59,Brake Adjustment for bike BK333
MR5127,BK333,classic,2024-11-11,tire_repair,111.5,Tire Repair for bike BK333
MR5128,BK274,classic,2024-12-13,brake_adjustment,60.52,Brake Adjustment for bike BK274
MR5129,BK300,electric,2024-01-26,tire_repair,127.6,Tire Repair for bike BK300
MR5130,BK261,electric,2024-05-09,general_inspection,88.31,General Inspection for bike BK261
MR5131,BK336,electric,2024-07-25,chain_lubrication,18.84,Chain Lubrication for bike BK336
MR5132,BK227,electric,2024-05-18,brake_adjustment,96.9,Brake Adjustment for bike BK227
MR5133,BK211,electric,2024-12-28,battery_replacement,189.16,Battery Replacement for bike BK211
MR5134,BK307,electric,2024-01-10,chain_lubrication,87.94,Chain Lubrication for bike BK307
MR5135,BK325,electric,2024-03-20,general_inspection,148.7,General Inspection for bike BK325
MR5136,BK250,classic,2024-02-22,general_inspection,,General Inspection for bike BK250
MR5137,BK333,electric,2024-06-07,chain_lubrication,49.39,Chain Lubrication for bike BK333
MR5138,BK286,electric,2024-12-30,battery_replacement,199.3,Battery Replacement for bike BK286
MR5139,BK291,classic,2024-04-12,chain_lubrication,83.9,Chain Lubrication for bike BK291
MR5140,BK211,classic,2024-01-30,tire_repair,33.58,Tire Repair for bike BK211
MR5141,BK295,electric,2024-10-18,brake_adjustment,16.5,Brake Adjustment for bike BK295
MR5142,BK261,electric,2024-03-29,battery_replacement,249.69,Battery Replacement for bike BK261
MR5143,BK227,classic,2024-03-27,chain_lubrication,140.07,Chain Lubrication for bike BK227
MR5144,BK274,electric,2024-08-10,chain_lubrication,123.42,Chain Lubrication for bike BK274
MR5145,BK295,classic,2024-08-19,chain_lubrication,80.94,Chain Lubrication for bike BK295
MR5146,BK227,classic,2024-08-13,tire_repair,137.19,Tire Repair for bike BK227
MR5147,BK253,electric,2024-12-12,battery_replacement,245.57,Battery Replacement for bike BK253
MR5148,BK320,classic,2024-11-25,brake_adjustment,52.86,Brake Adjustment for bike BK320
MR5149,BK229,electric,2024-04-05,battery_replacement,112.71,Battery Replacement for bike BK229
MR5150,BK262,electric,2024-09-21,brake_adjustment,119.94,Brake Adjustment for bike BK262
MR5151,BK328,electric,2024-05-26,battery_replacement,245.89,Battery Replacement for bike BK328
MR5152,BK329,electric,2024-01-04,general_inspection,51.65,General Inspection for bike BK329
MR5153,BK330,electric,2024-03-27,battery_replacement,91.42,Battery Replacement for bike BK330
MR5154,BK261,electric,2024-12-17,tire_repair,85.89,Tire Repair for bike BK261
MR5155,BK211,classic,2024-03-13,brake_adjustment,68.97,Brake Adjustment for bike BK211
MR5156,BK212,electric,2024-11-09,general_inspection,148.29,General Inspection for bike BK212
MR5157,BK327,electric,2024-03-12,general_inspection,52.02,General Inspection for bike BK327
MR5158,BK241,electric,2024-08-07,brake_adjustment,125.32,Brake Adjustment for bike BK241
MR5159,BK295,classic,2024-01-17,chain_lubrication,148.16,Chain Lubrication for bike BK295
MR5160,BK228,electric,2024-03-10,battery_replacement,156.44,Battery Replacement for bike BK228
MR5161,BK211,classic,2024-09-15,chain_lubrication,105.73,Chain Lubrication for bike BK211
MR5162,BK302,electric,2024-03-04,brake_adjustment,103.94,Brake Adjustment for bike BK302
MR5163,BK261,classic,2024-12-12,general_inspection,16.41,General Inspection for bike BK261
MR5164,BK312,electric,2024-01-01,chain_lubrication,136.12,Chain Lubrication for bike BK312
MR5165,BK211,classic,2024-05-04,tire_repair,58.81,Tire Repair for bike BK211
MR5166,BK331,electric,2024-03-30,chain_lubrication,149.33,Chain Lubrication for bike BK331
MR5167,BK295,classic,2024-02-10,brake_adjustment,50.52,Brake Adjustment for bike BK295
MR5168,BK307,electric,2024-08-22,tire_repair,44.26,Tire Repair for bike BK307
MR5169,BK315,electric,2024-12-08,chain_lubrication,15.53,Chain Lubrication for bike BK315
MR5170,BK295,electric,2024-12-08,chain_lubrication,80.68,Chain Lubrication for bike BK295
MR5171,BK251,classic,2024-01-24,tire_repair,55.48,Tire Repair for bike BK251
MR5172,BK243,classic,2024-08-05,tire_repair,143.43,Tire Repair for bike BK243
MR5173,BK227,electric,2024-04-01,chain_lubrication,141.33,Chain Lubrication for bike BK227
MR5174,BK323,electric,2024-12-24,chain_lubrication,110.73,Chain Lubrication for bike BK323
MR5175,BK227,electric,2024-10-13,tire_repair,87.71,Tire Repair for bike BK227
MR5176,BK327,electric,2024-03-14,brake_adjustment,133.05,Brake Adjustment for bike BK327
MR5177,BK333,classic,2024-01-05,tire_repair,,Tire Repair for bike BK333
MR5178,BK250,electric,2024-02-20,chain_lubrication,33.78,Chain Lubrication for bike BK250
MR5179,BK238,classic,2024-08-01,brake_adjustment,57.42,Brake Adjustment for bike BK238
MR5180,BK307,electric,2024-07-14,tire_repair,43.03,Tire Repair for bike BK307
MR5181,BK329,classic,2024-06-16,tire_repair,55.45,Tire Repair for bike BK329
MR5182,BK251,electric,2024-06-08,battery_replacement,187.67,Battery Replacement for bike BK251
MR5183,BK312,classic,2024-11-09,tire_repair,94.46,Tire Repair for bike BK312
MR5184,BK243,classic,2024-06-13,general_inspection,,General Inspection for bike BK243
MR5185,BK327,electric,2024-01-25,brake_adjustment,112.85,Brake Adjustment for bike BK327
MR5186,BK280,classic,2024-07-21,brake_adjustment,21.58,Brake Adjustment for bike BK280
MR5187,BK212,electric,2024-04-20,general_inspection,96.28,General Inspection for bike BK212
MR5188,BK211,classic,2024-12-23,general_inspection,107.42,General Inspection for bike BK211
MR5189,BK323,electric,2024-09-06,general_inspection,122.52,General Inspection for bike BK323
MR5190,BK302,classic,2024-02-03,chain_lubrication,109.06,Chain Lubrication for bike BK302
MR5191,BK346,classic,2024-08-24,general_inspection,117.86,General Inspection for bike BK346
MR5192,BK315,classic,2024-02-12,chain_lubrication,43.07,Chain Lubrication for bike BK315
MR5193,BK312,classic,2024-06-27,tire_repair,101.86,Tire Repair for bike BK312
MR5194,BK226,electric,2024-05-30,general_inspection,64.02,General Inspection for bike BK226
MR5195,BK312,electric,2024-11-09,general_inspection,92.75,General Inspection for bike BK312
MR5196,BK312,classic,2024-08-02,brake_adjustment,68.13,Brake Adjustment for bike BK312
MR5197,BK317,electric,2024-12-06,battery_replacement,112.93,Battery Replacement for bike BK317
MR5198,BK327,classic,2024-09-08,tire_repair,43.94,Tire Repair for bike BK327
MR5199,BK261,electric,2024-11-19,tire_repair,36.88,Tire Repair for bike BK261
